section name,section type,size
.rodata.ql_seekdir.str1.1,rodata,20
.rodata.ql_stat.str1.1,rodata,15
.rodata.ql_telldir.str1.1,rodata,20
.text.ql_fs_errocode_get,text,112
.text.quec_file_dedotdotify,text,368
.text.quec_file_get_dir_level,text,84
.text.quec_file_check_path_is_mount,text,84
.text.ql_file_type_get,text,96
.text.quec_file_is_name_valid,text,288
.text.ql_file_check_path,text,300
.text.ql_file_path_type_convert,text,216
.text.ql_file_get_mode,text,356
.text.ql_filesys_get_state,text,72
.text.ql_open_file_init,text,216
.text.ql_fs_file_open,text,172
.text.ql_fs_file_close,text,244
.text.ql_get_file_info,text,352
.text.ql_file_get_mode_by_fd,text,32
.text.ql_open_file_get_cnt,text,104
.text.ql_open_file_get_info,text,220
.text.ql_file_check_support_sfs,text,232
.text.ql_file_is_opened,text,42
.text.ql_fs_file_stat,text,176
.text.ql_file_is_opened_by_fd,text,40
.text.ql_get_file_name_by_fd,text,54
.text.ql_property_init,text,20
.text.quec_tts_resource_merge,text,1084
.rodata.ql_file_check_path.str1.1,rodata,15
.rodata.ql_file_check_support_sfs.str1.1,rodata,15
.rodata.ql_file_get_mode.str1.1,rodata,20
.rodata.ql_file_path_type_convert.str1.1,rodata,61
.rodata.ql_file_type_get.str1.1,rodata,39
.rodata.ql_filesys_get_state.str1.1,rodata,29
.rodata.ql_fs_file_close.str1.1,rodata,134
.rodata.ql_fs_file_open.str1.1,rodata,18
.rodata.ql_fs_file_stat.str1.1,rodata,58
.rodata.ql_get_file_info.str1.1,rodata,62
.rodata.ql_open_file_get_cnt.str1.1,rodata,84
.rodata.ql_open_file_get_info.str1.1,rodata,70
.rodata.ql_open_file_init.str1.1,rodata,166
.rodata.quec_file_check_path_is_mount.str1.1,rodata,28
.rodata.quec_file_dedotdotify.str1.1,rodata,20
.rodata.quec_file_get_dir_level.str1.1,rodata,3
.rodata.quec_tts_resource_merge.str1.1,rodata,427
.text.ql_ftp_default_write_cb,text,76
.text.ql_sftp_client_list_cb,text,336
.text.ql_ftp_default_read_cb,text,60
.text.ql_ftp_open_get_error_code,text,264
.text.ql_ftp_client_new,text,48
.text.ql_ftp_client_release,text,26
.text.ql_ftp_client_setopt,text,444
.text.ql_ftp_client_open,text,320
.text.ql_ftp_client_close,text,52
.text.ql_ftp_client_get_ex,text,256
.text.ql_ftp_client_put_ex,text,272
.text.ql_ftp_client_delete,text,104
.text.ql_ftp_client_cwd,text,104
.text.ql_ftp_client_lcwd,text,212
.text.ql_ftp_client_pwd,text,276
.text.ql_ftp_client_lpwd,text,100
.text.ql_ftp_client_mkdir,text,104
.text.ql_ftp_client_rmdir,text,104
.text.ftp_list_readline,text,108
.text.ql_ftp_client_list_cb,text,396
.text.ql_ftp_client_list,text,264
.text.ql_ftp_client_size,text,164
.text.ql_ftp_client_rename,text,120
.rodata.ql_ftp_client_get_ex.str1.1,rodata,3
.rodata.ql_ftp_client_lcwd.str1.1,rodata,6
.rodata.ql_ftp_client_list.str1.1,rodata,15
.rodata.ql_ftp_client_list_cb.str1.1,rodata,66
.rodata.ql_ftp_client_open.str1.1,rodata,6
.rodata.ql_ftp_client_put_ex.str1.1,rodata,2
.rodata.ql_ftp_client_pwd.str1.1,rodata,19
.rodata.ql_ftp_client_size.str1.1,rodata,23
.rodata.ql_ftp_default_write_cb.str1.1,rodata,13
.rodata.ql_ftp_open_get_error_code.str1.1,rodata,62
.rodata.ql_sftp_client_list_cb.str1.1,rodata,71
.text.getlong,text,30
.text.ftp_list_parse_permissions,text,120
.text.ftp_list_split_ls_uinx,text,1520
.text.ql_ftp_list_data_parse,text,1544
.rodata.ftp_list_split_ls_uinx.str1.1,rodata,203
.rodata.months,rodata,48
.rodata.ql_ftp_list_data_parse.str1.1,rodata,162
.text.ql_gpio_index_check,text,60
.text.ql_gpio_get_direction,text,172
.text.ql_gpio_set_level,text,192
.text.ql_gpio_get_level,text,200
.text.ql_gpio_set_pull,text,248
.text.ql_gpio_deinit,text,124
.text.ql_gpio_set_direction,text,220
.text.ql_gpio_init,text,160
.text.ql_gpio_get_pull,text,220
.text.ql_int_register,text,240
.text.ql_int_unregister,text,132
.text.ql_int_enable,text,116
.text.ql_int_enable_ex,text,268
.text.ql_int_disable,text,100
.text.ql_int_disable_ex,text,4
.text.ql_pin_index_check,text,52
.text.ql_pin_set_func,text,860
.text.ql_pin_get_func,text,88
.text.ql_pin_set_gpio,text,488
.text.ql_pin_set_func_internal,text,340
.text.ql_pin_set_drving,text,140
.rodata.ql_gpio_get_direction.str1.1,rodata,85
.rodata.ql_gpio_set_level.str1.1,rodata,46
.rodata.ql_gpio_set_pull.str1.1,rodata,46
.rodata.ql_int_register.str1.1,rodata,46
.rodata.ql_pin_get_gpio.str1.1,rodata,30
.rodata.ql_pin_set_func.str1.1,rodata,189
.rodata.ql_pin_set_gpio.str1.1,rodata,36
.text.ql_httpc_event_listener,text,488
.text.ql_httpc_dload_timer_expire,text,12
.text.ql_httpc_upload_data_read,text,92
.text.ql_httpc_dload_data_write,text,256
.text.ql_httpc_new,text,204
.text.ql_httpc_setopt,text,924
.text.ql_httpc_formadd,text,168
.text.ql_httpc_perform,text,108
.text.ql_httpc_getinfo,text,342
.text.ql_httpc_continue_dload,text,22
.text.ql_httpc_release,text,200
.rodata.ql_httpc_dload_data_write.str1.1,rodata,54
.rodata.ql_httpc_event_listener.str1.1,rodata,46
.rodata.ql_httpc_new.str1.1,rodata,50
.rodata.ql_httpc_setopt.str1.1,rodata,18
.rodata.ql_httpc_upload_data_read.str1.1,rodata,20
.text.ql_I2cInit,text,280
.text.ql_I2cWrite,text,180
.text.ql_I2cRead,text,180
.text.ql_I2cRelease,text,120
.text.ql_I2cWrite_16bit_addr,text,192
.text.ql_I2cRead_16bit_addr,text,192
.text.ql_i2c_write_slave_data,text,168
.text.ql_i2c_read_slave_data,text,168
.rodata.ql_I2cInit.str1.1,rodata,52
.rodata.ql_I2cRead.str1.1,rodata,16
.rodata.ql_I2cRelease.str1.1,rodata,17
.rodata.ql_I2cWrite.str1.1,rodata,17
.text.ql_keypad_isr_cb,text,108
.text.ql_keypad_state,text,88
.text.ql_keypad_init,text,240
.rodata.ql_keypad_init.str1.1,rodata,84
.rodata.ql_keypad_state.str1.1,rodata,16
.text.quec_lcd_sleep_in,text,176
.text.quec_spi_lcd_write_cmd_data,text,176
.text.quec_lcd_version_init,text,140
.text.quec_lcd_mutex_create,text,44
.text.ql_lcd_free,text,96
.text.ql_lcd_write,text,404
.text.ql_lcd_display_on,text,6
.text.ql_lcd_display_off,text,6
.text.ql_spi_lcd_write_cmd,text,8
.text.ql_spi_lcd_write_data,text,8
.text.ql_lcd_clear_screen,text,392
.text.ql_lcd_init_ext,text,616
.text.ql_lcd_init,text,10
.text.ql_lcd_init_bwscreen,text,100
.text.ql_lcd_init_st7567a,text,112
.text.ql_lcd_brightness_pin_sel,text,92
.text.ql_lcd_set_brightness,text,300
.text.ql_lcd_set_level_brightness,text,156
.text.ql_lcd_enter_sleep,text,192
.text.ql_compute_threshold,text,280
.text.ql_lcd_set_display_offset,text,264
.text.ql_lcd_reset_config,text,76
.text.ql_lcd_get_info,text,140
.text.ql_lcd_set_config,text,196
.text.ql_lcd_get_config,text,108
.text.ql_lcd_set_busmode,text,32
.text.ql_lcd_set_reset_pin,text,20
.text.ql_get_lcdSpec,text,124
.text.ql_lcd_special_init,text,448
.text.ql_lcd_special_change,text,112
.rodata.ql_lcd_get_info.str1.1,rodata,19
.rodata.ql_lcd_init_ext.str1.1,rodata,105
.rodata.ql_lcd_set_config.str1.1,rodata,22
.rodata.ql_lcd_set_display_offset.str1.1,rodata,21
.rodata.ql_lcd_write.str1.1,rodata,47
.rodata.quec_lcd_mutex_create.str1.1,rodata,26
.rodata.quec_lcd_sleep_in.str1.1,rodata,38
.rodata.quec_lcd_version_init.str1.1,rodata,20
.text.ql_mqtt_append_request,text,22
.text.ql_mqtt_client_event_listener,text,116
.text.ql_mqtt_client_check_cliptr_valid,text,176
.text.ql_mqtt_listen_task,text,956
.text.ql_mqtt_onenet_generate_auth_token,text,116
.text.ql_mqtt_client_init,text,268
.text.ql_mqtt_connect,text,844
.text.ql_mqtt_publish,text,240
.text.ql_mqtt_sub_unsub,text,276
.text.ql_mqtt_disconnect,text,152
.text.ql_mqtt_set_inpub_callback,text,52
.text.ql_mqtt_client_is_connected,text,22
.text.ql_mqtt_client_deinit,text,120
.text.ql_mqtt_client_setopt,text,248
.rodata.ql_mqtt_client_event_listener.str1.1,rodata,21
.rodata.ql_mqtt_client_setopt.str1.1,rodata,62
.rodata.ql_mqtt_connect.str1.1,rodata,43
.rodata.ql_mqtt_listen_task.str1.1,rodata,116
.rodata.ql_mqtt_onenet_generate_auth_token.str1.1,rodata,25
.rodata.ql_mqtt_publish.str1.1,rodata,16
.text.ql_nw_gsm_rssi_compare,text,18
.text.ql_nw_lte_rssi_compare,text,18
.text.ql_nw_set_lte_auto_disable_cfun_enable_rsp,text,88
.text.quec_netlight_datatransmit_callback,text,10
.text.ql_cops_set_rsp,text,16
.text.ql_nw_create_mutex,text,10
.text.ql_update_sim_operator_name,text,212
.text.ql_nw_set_lte_auto_disable_cfun_rsp,text,228
.text.ql_nw_set_lte_auto_disable_cb,text,4
.text.ql_nw_lte_auto_disable_cfun_timeout_callback,text,84
.text.ql_nw_testmode_rat_get,text,28
.text.ql_nw_try_lock,text,12
.text.ql_nw_unlock,text,8
.text.quec_qoos_check_param,text,44
.text.ql_nw_set_losscovtimer,text,152
.text.ql_nw_set_limittimer,text,152
.text.ql_nw_get_losscovtimer,text,56
.text.quec_regstatus_rda2quec,text,92
.text.quec_get_regstatus,text,176
.text.quec_get_nw_status,text,264
.text.quec_nw_info_allow_query,text,240
.text.quec_get_nitz_time,text,36
.text.quec_save_nw_sync_time,text,72
.text.quec_network_name_info_parser,text,252
.text.ql_sim_operator_name_rsp,text,364
.text._get_nwk_opername,text,88
.text.quec_nw_get_nwk_opername,text,76
.text.quec_nw_oper_name_handler,text,304
.text.quec_pdpAddressToStr,text,780
.text.quec_netstatuslight_switch,text,196
.text.quec_netlight_deal_call_change,text,116
.text.quec_netlight_deal_network_change,text,136
.text.quec_netlight_deal_pdp_activing,text,96
.text.quec_netlight_deal_pdp_active_fail,text,100
.text.quec_netlight_deal_pdp_change,text,128
.text.quec_netlight_deal_socket_connect,text,72
.text.quec_netlight_get_current_status,text,16
.text.ql_nw_get_csq,text,512
.text.ql_nw_set_mode,text,240
.text.ql_nw_get_mode,text,88
.text.ql_nw_set_cemode,text,84
.text.ql_nw_get_cemode,text,48
.text.ql_nw_get_rrc_duration,text,76
.text.quec_nw_get_drxtm,text,228
.text.quec_nw_set_drxtm,text,156
.text.ql_nw_set_drxtm,text,24
.text.ql_nw_get_drxtm,text,124
.text.ql_nw_get_operator_name,text,476
.text.ql_nw_set_selection,text,640
.text.ql_nw_get_selection,text,260
.text.ql_nw_get_signal_strength,text,352
.text.ql_nw_get_nitz_time_info,text,176
.text.ql_emod_process_gsm_cell_info,text,468
.text.quec_convert_ltecellinfo,text,132
.text.ql_nw_sort_cell_info_by_rssi,text,84
.text.ql_nw_get_cell_info_by_mode,text,552
.text.ql_nw_get_cell_info,text,28
.text.ql_nw_register_cb,text,144
.text.ql_nw_increase_data_count,text,184
.text.quec_data_transmit_event_send,text,44
.text.ql_nw_get_data_count_from_nv,text,60
.text.ql_nw_get_data_count,text,104
.text.quec_netlight_deal_data_transmit,text,168
.text.quec_netlight_datatransmit_check,text,228
.text.ql_nw_reset_data_count,text,164
.text.ql_nw_save_data_count,text,208
.text.ql_nw_send_event,text,36
.text.quec_nw_nitz_ind_handler,text,564
.text.ql_nw_get_cell_info_async,text,40
.text.ql_emod_rsp,text,964
.text.ql_nw_get_cell_info_handle,text,100
.text.ql_nw_set_jamdet_config,text,148
.text.ql_nw_set_jamdetex_config,text,80
.text.ql_nw_get_jamdet_config,text,100
.text.ql_nw_get_jamdetex_config,text,68
.text.ql_nw_set_jamdet_mode,text,308
.text.ql_nw_get_jamdet_mode,text,76
.text.ql_nw_get_jamdet_status,text,96
.text._is_netinfo_valid,text,92
.text.QUEC_MID_update_netinfo,text,80
.text.QUEC_MID_CFW_GetNetinfo,text,160
.text.ql_nw_init,text,56
.text.quec_is_lte_band_val_changed,text,48
.text.quec_lte_check_support_band,text,92
.text.quec_lte_lock_freq_cell,text,192
.text.ql_nw_lte_getlock,text,188
.text.ql_nw_get_cfg_band,text,368
.text.ql_nw_set_cfg_band,text,920
.text.quec_network_config_from_nv,text,64
.text.quec_nw_nwscanmode_save,text,76
.text.ql_nw_cfg_init,text,180
.text.ql_nw_get_cfg,text,504
.text.ql_nw_get_cfg_locrel,text,80
.text.ql_nw_set_locrel,text,88
.text.ql_nw_get_qceer,text,20
.text.ql_nw_get_cause,text,52
.text.ql_nw_get_cause_str,text,120
.text.ql_nw_qceer_update,text,284
.text.ql_nw_set_at_cause_mode,text,80
.text.ql_nw_set_cause_detail,text,128
.text.ql_nw_set_cause,text,144
.text.ql_nw_get_at_cause,text,96
.text.ql_nw_get_emm_gmm_cause_ex,text,84
.text.ql_nw_get_esm_sm_cause_ex,text,80
.text.ql_nw_set_auto_black_elec_fence,text,72
.text.ql_nw_get_auto_black_elec_fence,text,52
.text.ql_nw_set_blacklist_func,text,44
.text.ql_nw_get_blacklist_func,text,36
.text.quec_convert_black_cell,text,316
.text.quec_nw_set_black_cell_again,text,104
.text.ql_nw_set_gsm_black_cell,text,560
.text.ql_nw_set_lte_black_cell,text,460
.text.ql_nw_get_black_cell,text,48
.text.ql_nw_get_pwrsweep,text,36
.text.ql_nw_set_pwrsweep,text,52
.text.ql_nw_set_disrplmn,text,88
.text.ql_nw_get_disrplmn,text,68
.text.ql_nw_set_tau_type_aft_local_rel,text,68
.text.ql_nw_get_tau_type_aft_local_rel,text,44
.text.ql_nw_set_measurement_flag_aft_local_rel,text,52
.text.ql_nw_get_measurement_flag_aft_local_rel,text,36
.text.ql_nw_set_esmfail_times,text,80
.text.ql_nw_get_esmfail_times,text,104
.text.ql_nw_get_cell_sinr,text,68
.text.ql_nw_get_ue_stat,text,56
.text.ql_nw_get_reg_status,text,524
.text.ql_nw_get_ue_stat_report,text,60
.text.ql_nw_set_ue_stat_report,text,92
.text.ql_nw_get_edrxs_mode,text,36
.text.ql_nw_save_qptwedrxs_mode,text,60
.text.ql_nw_get_qptwedrxs_mode,text,36
.text.ql_nw_set_edrx,text,208
.text.ql_nw_get_edrx,text,92
.text.ql_nw_msclass_update,text,180
.text.ql_nw_get_msclass,text,60
.text.ql_nw_set_msclass,text,164
.text.ql_nw_get_testsim_autopdn,text,72
.text.ql_nw_set_testsim_autopdn,text,116
.text.ql_nw_testsim_autopdn_init,text,72
.text.ql_nw_get_weak_signal_mode,text,36
.text.ql_nw_set_weak_signal_mode,text,52
.text.ql_nw_get_band_pwrboost,text,156
.text.ql_nw_set_band_pwrboost,text,476
.text.quec_band_pwrboost_init,text,244
.text.quec_pcl_to_dbm,text,68
.text.quec_dbm_to_pcl,text,92
.text.ql_nw_get_rfpwrcfg,text,268
.text.ql_nw_set_rfpwrcfg,text,236
.text.ql_nw_set_rplmn_invalid_with_combined_fail,text,76
.text.ql_nw_get_rplmn_invalid_with_combined_fail,text,68
.text.quec_nw_get_gsm_resel_lte_type_from_nv,text,76
.text.quec_nw_save_gsm_resel_lte_type,text,116
.text.ql_nw_set_gsm_reselect_lte_when_transdata,text,68
.text.ql_nw_get_gsm_reselect_lte_when_transdata,text,24
.text.ql_nw_gsm_reselect_lte_init,text,30
.text.ql_nw_get_plmn_prefer,text,80
.text.ql_nw_set_plmn_prefer,text,104
.text.ql_nw_init_plmn_prefer,text,308
.text.ql_nw_clear_history_freq,text,100
.text.ql_nw_set_event,text,72
.text.ql_nw_set_cxreg_mode,text,96
.text.ql_nw_get_cxreg_mode,text,36
.text.ql_nw_get_cxreg_mode_from_nv,text,64
.text.ql_nw_set_cxreg_reject_status,text,32
.text.ql_nw_get_cxreg_reject_status,text,72
.text.ql_nw_set_lte_auto_disable_time,text,116
.text.ql_nw_get_lte_auto_disable_time,text,44
.text.ql_nw_lte_auto_disable_timer_callback,text,184
.text.ql_nw_set_lte_auto_disable_ex,text,1000
.text.ql_nw_get_lte_auto_disable,text,48
.text.ql_nw_msg_process,text,1772
.text.ql_nw_set_lte_auto_disable,text,112
.text.ql_nw_lte_auto_disable_read_from_nv,text,60
.rodata.CsInternalCauseText,rodata,24
.rodata.CsNetworkCauseText,rodata,72
.rodata.CsNetworkRejectText,rodata,368
.rodata.PSGprsCauseText,rodata,368
.rodata.PSLteCauseText,rodata,384
.rodata.PsLteLocalCauseText,rodata,296
.rodata.QUEC_MID_CFW_GetNetinfo.str1.1,rodata,17
.rodata.QUEC_MID_update_netinfo.str1.1,rodata,33
.rodata._is_netinfo_valid.str1.1,rodata,22
.rodata.causeTypeText,rodata,64
.rodata.ql_emod_process_gsm_cell_info.str1.1,rodata,20
.rodata.ql_emod_rsp.str1.1,rodata,97
.rodata.ql_nw_cfg_init.str1.1,rodata,50
.rodata.ql_nw_clear_history_freq.str1.1,rodata,13
.rodata.ql_nw_get_band_pwrboost.str1.1,rodata,31
.rodata.ql_nw_get_cause_str.str1.1,rodata,31
.rodata.ql_nw_get_cell_info_by_mode.str1.1,rodata,62
.rodata.ql_nw_get_cell_info_handle.str1.1,rodata,18
.rodata.ql_nw_get_cfg.str1.1,rodata,173
.rodata.ql_nw_get_cfg_locrel.str1.1,rodata,16
.rodata.ql_nw_get_csq.str1.1,rodata,182
.rodata.ql_nw_get_data_count_from_nv.str1.1,rodata,19
.rodata.ql_nw_get_drxtm.str1.1,rodata,19
.rodata.ql_nw_get_esmfail_times.str1.1,rodata,15
.rodata.ql_nw_get_msclass.str1.1,rodata,25
.rodata.ql_nw_get_nitz_time_info.str1.1,rodata,61
.rodata.ql_nw_get_operator_name.str1.1,rodata,80
.rodata.ql_nw_get_plmn_prefer.str1.1,rodata,23
.rodata.ql_nw_get_reg_status.str1.1,rodata,18
.rodata.ql_nw_get_rfpwrcfg.str1.1,rodata,18
.rodata.ql_nw_get_rplmn_invalid_with_combined_fail.str1.1,rodata,24
.rodata.ql_nw_get_selection.str1.1,rodata,19
.rodata.ql_nw_get_signal_strength.str1.1,rodata,80
.rodata.ql_nw_get_testsim_autopdn.str1.1,rodata,27
.rodata.ql_nw_get_ue_stat_report.str1.1,rodata,43
.rodata.ql_nw_init.str1.1,rodata,11
.rodata.ql_nw_init_plmn_prefer.str1.1,rodata,19
.rodata.ql_nw_lte_auto_disable_cfun_timeout_callback.str1.1,rodata,27
.rodata.ql_nw_lte_auto_disable_timer_callback.str1.1,rodata,50
.rodata.ql_nw_msclass_update.str1.1,rodata,133
.rodata.ql_nw_msg_process.str1.1,rodata,269
.rodata.ql_nw_qceer_update.str1.1,rodata,21
.rodata.ql_nw_reset_data_count.str1.1,rodata,15
.rodata.ql_nw_save_data_count.str1.1,rodata,16
.rodata.ql_nw_save_edrxs_mode.str1.1,rodata,22
.rodata.ql_nw_save_qptwedrxs_mode.str1.1,rodata,26
.rodata.ql_nw_set_band_pwrboost.str1.1,rodata,82
.rodata.ql_nw_set_cause.str1.1,rodata,42
.rodata.ql_nw_set_cfg_band.str1.1,rodata,278
.rodata.ql_nw_set_cxreg_mode.str1.1,rodata,25
.rodata.ql_nw_set_esmfail_times.str1.1,rodata,27
.rodata.ql_nw_set_gsm_black_cell.str1.1,rodata,17
.rodata.ql_nw_set_gsm_reselect_lte_when_transdata.str1.1,rodata,42
.rodata.ql_nw_set_jamdet_mode.str1.1,rodata,113
.rodata.ql_nw_set_limittimer.str1.1,rodata,28
.rodata.ql_nw_set_locrel.str1.1,rodata,20
.rodata.ql_nw_set_losscovtimer.str1.1,rodata,29
.rodata.ql_nw_set_lte_auto_disable.str1.1,rodata,14
.rodata.ql_nw_set_lte_auto_disable_cfun_enable_rsp.str1.1,rodata,46
.rodata.ql_nw_set_lte_auto_disable_cfun_rsp.str1.1,rodata,56
.rodata.ql_nw_set_lte_auto_disable_ex.str1.1,rodata,324
.rodata.ql_nw_set_lte_auto_disable_time.str1.1,rodata,78
.rodata.ql_nw_set_mode.str1.1,rodata,63
.rodata.ql_nw_set_msclass.str1.1,rodata,46
.rodata.ql_nw_set_rplmn_invalid_with_combined_fail.str1.1,rodata,25
.rodata.ql_nw_set_selection.str1.1,rodata,201
.rodata.ql_sim_operator_name_rsp.str1.1,rodata,35
.rodata.ql_update_sim_operator_name.str1.1,rodata,35
.rodata.quec_band_pwrboost_init.str1.1,rodata,41
.rodata.quec_get_nw_status.str1.1,rodata,38
.rodata.quec_get_regstatus.str1.1,rodata,34
.rodata.quec_netlight_datatransmit_check.str1.1,rodata,21
.rodata.quec_netlight_deal_call_change.str1.1,rodata,28
.rodata.quec_netlight_deal_network_change.str1.1,rodata,45
.rodata.quec_netlight_deal_pdp_activing.str1.1,rodata,33
.rodata.quec_netlight_deal_socket_connect.str1.1,rodata,21
.rodata.quec_netstatuslight_switch.str1.1,rodata,43
.rodata.quec_network_config_from_nv.str1.1,rodata,20
.rodata.quec_nw_get_drxtm.str1.1,rodata,42
.rodata.quec_nw_get_gsm_resel_lte_type_from_nv.str1.1,rodata,29
.rodata.quec_nw_info_allow_query.str1.1,rodata,32
.rodata.quec_nw_nitz_ind_handler.str1.1,rodata,145
.rodata.quec_nw_nwscanmode_save.str1.1,rodata,25
.rodata.quec_nw_oper_name_handler.str1.1,rodata,20
.rodata.quec_nw_save_gsm_resel_lte_type.str1.1,rodata,14
.rodata.quec_nw_set_drxtm.str1.1,rodata,14
.rodata.quec_pdpAddressToStr.str1.1,rodata,114
.rodata.quec_regstatus_rda2quec.str1.1,rodata,20
.rodata.quec_save_nw_sync_time.str1.1,rodata,15
.text.quec_nw_plmn_format_convert,text,264
.rodata.quec_nw_plmn_format_convert.str1.1,rodata,3281
.text.ql_malloc,text,28
.text.ql_rtos_task_yield,text,4
.text.ql_rtos_task_suspend,text,44
.text.ql_rtos_task_resume,text,48
.text.ql_rtos_task_get_current_ref,text,60
.text.ql_rtos_task_change_priority,text,88
.text.ql_rtos_task_get_priority,text,52
.text.ql_rtos_task_sleep_ms,text,32
.text.ql_rtos_task_sleep_s,text,40
.text.ql_rtos_task_set_userdata,text,68
.text.ql_rtos_task_get_userdata,text,68
.text.ql_rtos_task_get_status,text,4
.text.ql_event_wait,text,64
.text.ql_event_try_wait,text,20
.text.ql_rtos_event_group_create,text,84
.text.ql_rtos_event_group_wait,text,124
.text.ql_rtos_event_group_clear,text,100
.text.ql_rtos_event_group_set,text,128
.text.ql_rtos_event_group_sync,text,116
.text.ql_rtos_event_group_get,text,80
.text.ql_rtos_event_group_delete,text,48
.text.ql_rtos_enter_critical,text,4
.text.ql_rtos_exit_critical,text,4
.text.ql_rtos_semaphore_create,text,88
.text.ql_rtos_semaphore_create_ex,text,92
.text.ql_rtos_semaphore_wait,text,56
.text.ql_rtos_semaphore_release,text,48
.text.ql_rtos_semaphore_get_cnt,text,52
.text.ql_rtos_semaphore_delete,text,48
.text.ql_rtos_mutex_create,text,60
.text.ql_rtos_mutex_lock,text,56
.text.ql_rtos_mutex_try_lock,text,48
.text.ql_rtos_mutex_unlock,text,48
.text.ql_rtos_task_create,text,240
.text.ql_rtos_task_create_default,text,216
.text.ql_rtos_mutex_delete,text,48
.text.ql_rtos_queue_create,text,68
.text.ql_rtos_queue_wait,text,64
.text.ql_rtos_queue_release,text,68
.text.ql_rtos_queue_get_cnt,text,52
.text.ql_rtos_event_send,text,208
.text.ql_rtos_event_send_ex,text,192
.text.ql_rtos_queue_get_free_cnt,text,52
.text.ql_rtos_queue_reset,text,56
.text.ql_rtos_queue_delete,text,48
.text.ql_rtos_timer_create,text,144
.text.ql_rtos_timer_start,text,72
.text.ql_rtos_timer_start_us,text,60
.text.ql_rtos_timer_start_relaxed,text,72
.text.ql_rtos_timer_stop,text,56
.text.ql_rtos_timer_is_running,text,8
.text.ql_rtos_timer_delete,text,120
.text.ql_rtos_task_delete,text,176
.text.ql_rtos_swdog_register,text,148
.text.ql_rtos_swdog_unregister,text,108
.text.ql_rtos_feed_dog,text,72
.text.ql_rtos_sw_dog_enable,text,60
.text.ql_rtos_sw_dog_disable,text,24
.text.ql_gettimeofday,text,60
.text.ql_rtos_get_system_tick,text,24
.text.cpu_using_timer_cb,text,64
.text.ql_idle_task_hook,text,20
.text.ql_task_switch_in_hook,text,44
.text.ql_task_switch_out_hook,text,52
.text.ql_rtos_get_cpu_using,text,92
.text.ql_is_irq,text,56
.text.ql_assert,text,6
.text.ql_rtos_up_time_ms,text,4
.text.ql_delay_us,text,32
.text.ql_rtos_scheduler_suspend,text,4
.text.ql_rtos_scheduler_resume,text,6
.text.ql_rtos_task_create_with_stack,text,256
.rodata.ql_is_irq.str1.1,rodata,16
.rodata.ql_rtos_event_group_create.str1.1,rodata,24
.rodata.ql_rtos_event_group_wait.str1.1,rodata,21
.rodata.ql_rtos_event_send.str1.1,rodata,58
.rodata.ql_rtos_event_send_ex.str1.1,rodata,20
.rodata.ql_rtos_semaphore_create.str1.1,rodata,18
.rodata.ql_rtos_swdog_register.str1.1,rodata,36
.rodata.ql_rtos_task_create.str1.1,rodata,41
.rodata.ql_rtos_task_delete.str1.1,rodata,55
.rodata.ql_rtos_task_set_userdata.str1.1,rodata,20
.rodata.ql_rtos_task_suspend.str1.1,rodata,16
.rodata.ql_rtos_timer_delete.str1.1,rodata,19
.text.dog_timer_cb,text,2
.text.api_push_task_info_to_list,text,72
.text.api_task_info_init,text,104
.text.api_get_task_name_by_ref,text,140
.text.api_remove_task_info,text,164
.text.sw_dog_init,text,124
.text.api_get_swdog_cb_from_list,text,156
.text.sw_dog_register_cb,text,224
.text.sw_dog_unregister_cb,text,188
.text.get_dog_cb_cnt,text,64
.text.sw_dog_callback,text,148
.text.api_task_init,text,176
.text.quec_api_task_init,text,4
.text.api_get_dog_cblist_info,text,160
.text.api_feed_dog,text,56
.text.api_sw_dog_enable,text,144
.text.api_sw_dog_disable,text,56
.text.ql_timer_bind_task,text,168
.text.ql_timer_unbind_task,text,132
.text.ql_task_is_binded_timer,text,184
.rodata.api_feed_dog.str1.1,rodata,20
.rodata.api_get_swdog_cb_from_list.str1.1,rodata,21
.rodata.api_get_task_name_by_ref.str1.1,rodata,17
.rodata.api_push_task_info_to_list.str1.1,rodata,46
.rodata.api_remove_task_info.str1.1,rodata,38
.rodata.api_sw_dog_enable.str1.1,rodata,66
.rodata.api_task_info_init.str1.1,rodata,36
.rodata.api_task_init.str1.1,rodata,80
.rodata.ql_task_is_binded_timer.str1.1,rodata,25
.rodata.ql_timer_bind_task.str1.1,rodata,70
.rodata.ql_timer_unbind_task.str1.1,rodata,22
.rodata.sw_dog_callback.str1.1,rodata,40
.rodata.sw_dog_init.str1.1,rodata,53
.rodata.sw_dog_register_cb.str1.1,rodata,79
.rodata.sw_dog_unregister_cb.str1.1,rodata,40
.text.ql_ledcfg_callback_register,text,52
.text.ql_led_set_sim,text,84
.text.ql_led_get_sim,text,28
.text.ql_pwm_open,text,284
.text.ql_pwm_close,text,160
.text.ql_pwm_lpg_enable,text,172
.text.ql_pwm_pwt_enable,text,192
.text.ql_pwm_pwl_enable,text,260
.text.ql_pwm_disable,text,184
.rodata.ql_pwm_close.str1.1,rodata,44
.rodata.ql_pwm_disable.str1.1,rodata,47
.rodata.ql_pwm_lpg_enable.str1.1,rodata,65
.rodata.ql_pwm_open.str1.1,rodata,158
.rodata.ql_pwm_pwl_enable.str1.1,rodata,149
.rodata.ql_pwm_pwt_enable.str1.1,rodata,72
.text.ql_sec_to_rtc_time,text,324
